Gender,balance,income,DPD
M,729.5264952,44361.62507,4
F,817.1804066,12106.1347,25
M,1073.549164,31767.13895,37
M,529.2506047,35704.49394,29
M,785.6558829,38463.49588,16
F,919.5885305,7491.558572,39
M,825.5133305,24905.22658,19
F,808.6675043,17600.45134,29
M,1161.057854,37468.52929,16
M,0,29275.26829,28
F,0,21871.07309,20
F,1220.583753,13268.56222,18
M,237.045114,28251.69534,36
M,606.7423433,44994.55585,44
M,1112.968401,23810.17405,23
M,286.2325601,45042.41304,45
M,0,50265.31235,57
F,527.5401841,17636.53962,8
M,485.9368642,61566.10612,14
M,1095.072735,26464.63139,56
M,228.9525496,50500.1822,32
M,954.2617928,32457.50908,3
M,1055.956605,51317.88308,13
M,641.9843888,30466.10326,48
M,773.2117245,34353.31431,42
M,855.0085225,25211.33216,15
M,642.9997385,41473.5118,18
M,1454.863272,32189.09495,29
M,615.7042766,39376.39462,40
F,1119.569353,16556.07021,31
M,494.8162288,54384.78284,43
F,448.8806563,15799.47041,50
F,584.9048947,22429.93505,24
M,913.5871726,46907.2254,41
F,1423.938917,22634.48809,7
F,1499.724657,13190.65272,37
M,692.0341671,47806.61177,4
M,351.4534715,35087.48865,59
M,742.6276208,37864.82394,40
M,653.1184001,39489.5947,44
M,872.1386795,41787.56727,2
M,837.2626228,51471.77209,27
M,1151.630566,42917.46956,59
F,220.5556084,16872.94756,31
F,1690.23441,19052.57222,46
M,408.7729143,54206.93921,2
M,1238.610321,50066.68053,50
M,1228.30835,37408.50387,15
M,820.9192041,47746.54207,59
M,857.4851178,31688.34597,32
M,563.6181772,42641.25327,56
F,1282.972534,13120.63647,12
F,1505.782675,26557.14145,52
F,904.0402591,16882.30061,23
M,0,49956.58057,28
F,1294.497347,10464.32073,40
F,1275.550633,15887.46849,41
M,1536.594601,48766.90746,56
M,1332.522644,39143.13707,30
M,492.0797678,33379.0946,55
M,766.2343793,46478.29426,12
M,690.1272462,63432.98425,40
M,0,32481.54005,7
M,1480.655309,36866.15707,36
M,989.055597,45344.25132,52
M,1302.341835,33695.42623,26
M,1044.552343,54696.76598,47
M,0,43658.22772,7
M,866.0284364,38363.42163,29
M,690.8007924,48140.47134,47
M,597.757142,31577.61513,52
M,429.4854023,51311.2181,19
M,1398.156201,39644.94219,33
F,1578.064099,19886.49395,40
M,857.0690531,26655.68897,44
F,752.459946,16211.27579,1
F,774.738427,15193.73314,0
M,728.3732513,45131.71826,52
M,76.99129053,28392.09341,0
M,196.4569131,41346.78591,56
F,948.7479184,14297.61905,55
M,431.9208853,39369.88156,39
M,461.6381822,46221.21149,50
M,572.0157602,33046.31296,37
M,335.5681447,51258.44423,28
M,510.2375932,60397.71865,45
F,1005.161306,24038.65204,35
F,162.4544511,13241.75206,41
M,932.5331557,50537.46565,29
F,893.3304676,11905.68179,25
M,1332.782564,44495.16276,13
M,1404.383069,35043.10603,42
F,1148.965139,16578.19212,18
M,368.2234257,57596.82584,27
M,449.4666288,45950.66672,30
M,820.0171126,51584.65732,0
F,619.7518686,15750.62208,49
M,1047.718124,46416.97099,31
M,243.8413283,47193.88813,2
M,186.5003869,45430.55027,12
M,1422.018488,38224.03152,44
M,383.798659,61425.28639,46
M,1159.435096,45802.10494,52
M,882.9919126,17181.73797,39
M,1463.232892,65457.85419,31
F,1722.355846,19311.42294,23
F,773.9218613,14558.91214,10
M,958.1694185,32816.2848,5
M,1207.53273,68037.57513,15
M,1056.61083,30546.60103,5
M,117.6424839,46550.26727,20
M,596.9641192,58088.36045,49
M,0,47729.62576,41
F,541.6627553,16335.70344,59
M,1119.178303,45020.01912,15
F,810.3209365,20498.66581,7
M,271.5514377,32850.12014,55
M,1114.403237,47714.02211,4
M,867.0308281,33540.97998,39
F,1176.789402,17632.7121,2
M,610.2278187,42465.36296,5
M,272.6156617,55449.33864,7
M,449.7350858,49643.42644,9
F,827.7672094,10673.52623,48
M,430.0000994,33925.2196,0
M,0,31825.76497,9
F,1557.344637,18404.59419,20
M,928.2369663,33722.15894,29
M,1373.450163,49101.79821,9
F,951.0729075,18601.53324,5
F,1292.210869,23065.85098,52
M,582.1887007,24760.79573,54
F,339.4246383,19307.98029,50
M,409.9823246,44641.09012,56
M,1216.45151,53639.84683,27
M,598.4613921,44124.26811,15
F,1486.998122,17854.39703,110
M,943.7963387,59976.83987,41
M,0,49525.74502,48
F,996.2760868,20883.24077,4
F,748.3013404,11248.67075,50
M,324.7379218,15411.51857,39
F,575.3821585,16005.68132,7
M,441.7382849,36012.2359,9
M,1188.64218,39526.56127,12
M,95.14768019,51371.19991,22
M,1015.614837,43218.79438,39
M,1258.567393,44931.67492,28
F,1178.244414,7750.289221,57
M,731.5326563,43956.06008,9
M,350.0887921,44455.19952,12
M,418.8483454,36901.78333,27
M,533.2294652,39393.54248,34
M,95.29697413,32359.38903,36
F,1453.005932,15933.00211,10
M,352.644414,39404.74437,38
F,736.2389355,14107.99397,30
M,1306.484572,41224.62502,19
M,1149.145627,45194.79466,56
M,703.2268907,57679.27914,55
F,1360.800435,18864.30849,42
M,31.44508054,53287.3503,48
M,988.2144581,48570.36346,6
M,360.0190736,23927.54661,47
M,647.4835286,33226.27754,22
F,0,9816.789438,16
M,445.2418192,31974.62451,30
F,878.5420645,17496.74148,59
F,335.8341186,21759.87027,49
M,666.6088814,30438.46883,44
M,813.876647,40737.45978,0
M,836.3000716,54607.17874,52
M,967.4826837,33055.11027,42
F,2205.799521,14271.49225,112
F,1258.185219,11672.222,29
M,1239.801699,40107.17221,27
F,0,13760.29846,45
F,927.8877323,22473.37961,18
F,1390.030783,21299.09923,26
M,410.4977048,53471.21363,20
M,73.07654218,30681.73754,55
M,790.5977592,45303.10331,4
M,789.495097,32579.90021,48
M,791.3604221,46319.23612,21
M,479.042379,37255.88033,14
M,888.6132726,28899.79175,19
M,1284.386361,42831.95462,11
F,712.2763513,23341.95023,0
F,1290.620169,18408.04908,38
M,126.3626854,44280.92979,20
M,779.3762577,61158.88511,36
M,697.4909575,49476.7596,16
M,606.9746135,43610.03302,48
F,1802.903334,21411.42395,31
M,900.0853326,41276.56319,38
M,966.280288,33440.9793,18
M,671.0613596,35689.11187,18
M,171.559116,23505.99277,16
M,1482.4803,45260.6116,45
M,640.6627517,46464.56593,47
F,706.1610275,18078.35179,17
F,1774.694223,20359.50609,95
M,916.4993169,25768.40745,44
M,1271.270812,36053.50295,14
M,110.5729098,47339.10875,8
M,1747.258882,37819.28909,55
M,1889.59919,48956.17159,86
M,27.20139465,21051.84013,58
M,746.2297751,35159.85023,45
F,1899.390626,20655.2,67
