fgood,cbs1,cbinq,cbline,cbterm,cblineut,cbtob,cbdpd,cbnew,pmt,dpd,home,online,period
1,534,2,2,1,44.81549083,4,Yes,Yes,M,High,No,Yes,31-01-2017
0,623,1,2,1,56.36891676,6,No,No,M,NO,Yes,Yes,31-08-2017
0,641,0,0,0,26.68826515,7,No,No,P,NO,No,Yes,31-07-2017
0,656,1,1,1,41.01684737,5,No,Yes,M,NO,No,Yes,31-01-2017
0,624,1,3,1,48.90197156,5,No,No,M,NO,No,Yes,31-01-2017
0,686,0,0,1,60.25205235,7,No,No,A,NO,No,No,31-05-2017
0,701,0,1,1,65.44189746,7,No,No,M,NO,No,Yes,30-04-2017
0,594,0,0,0,41.11251252,5,No,No,M,High,No,No,28-02-2017
0,698,0,2,0,41.85438591,8,No,No,P,Low,No,Yes,31-12-2016
0,586,1,2,1,40.1182138,6,No,Yes,A,NO,No,Yes,30-09-2017
1,678,2,2,1,53.63030649,5,No,No,A,NO,No,No,31-01-2017
0,NA,0,0,1,31.62324309,4,No,No,M,NO,No,Yes,31-08-2017
0,646,1,3,1,63.01892942,5,No,No,A,Low,No,Yes,31-07-2017
0,594,0,1,1,35.4362219,6,No,No,P,High,No,Yes,28-02-2017
1,492,1,2,1,35.96035796,6,Yes,Yes,M,High,No,Yes,31-03-2017
0,589,2,3,1,30.42589696,6,No,Yes,P,NO,Yes,No,30-09-2017
0,550,1,2,1,53.75119678,4,No,No,A,NO,No,Yes,28-02-2017
0,536,0,0,0,50.4138223,5,No,No,M,NO,No,Yes,31-03-2017
0,593,1,2,1,37.04010886,5,No,No,M,Low,No,Yes,31-01-2017
0,677,1,1,1,16.38004277,5,No,No,A,NO,No,Yes,31-03-2017
0,560,0,0,0,52.25912806,6,No,No,M,NO,Yes,Yes,31-12-2016
0,699,1,0,0,30.2040958,6,No,No,M,NO,No,Yes,30-04-2017
0,604,1,1,0,38.80200976,4,No,No,M,NO,No,Yes,30-09-2017
0,760,0,1,0,19.9570705,7,No,No,A,NO,Yes,No,30-06-2017
0,654,1,0,0,58.93362314,6,No,No,P,NO,No,No,31-08-2017
1,589,1,2,1,54.80216129,5,Yes,No,M,High,No,Yes,31-07-2017
0,658,1,2,1,44.64105312,5,No,No,A,Low,Yes,Yes,28-02-2017
0,621,2,1,1,44.59620628,5,No,No,P,Low,Yes,No,31-05-2017
1,677,1,2,1,46.65837484,7,No,No,M,Low,No,Yes,31-12-2016
0,642,1,2,1,43.81886332,6,No,No,A,Low,No,Yes,31-07-2017
0,NA,0,0,0,37.72625763,6,No,No,A,NO,Yes,Yes,31-03-2017
1,620,0,0,1,47.05243037,4,No,No,M,NO,No,No,31-03-2017
1,688,0,0,1,76.56565678,7,Yes,No,M,High,No,No,31-03-2017
0,696,1,2,1,45.63901939,6,No,No,P,NO,Yes,Yes,30-09-2017
0,NA,0,2,0,39.61841432,6,No,No,A,NO,Yes,Yes,31-05-2017
0,NA,1,1,1,64.05552384,5,No,No,A,Low,No,Yes,31-08-2017
0,614,0,0,0,23.57519031,7,No,No,P,NO,No,Yes,30-09-2017
0,691,0,0,0,57.10818589,7,No,Yes,M,Low,No,Yes,31-12-2016
1,NA,0,2,1,28.4503166,5,No,No,M,NO,No,Yes,31-07-2017
0,613,0,0,1,45.84357314,5,No,No,M,NO,No,Yes,31-05-2017
0,666,0,2,0,49.41217987,7,No,No,M,NO,No,Yes,30-09-2017
0,649,1,3,1,70.17832404,5,No,No,A,NO,No,Yes,30-09-2017
0,669,0,0,1,51.29602429,5,No,No,A,NO,Yes,No,31-12-2016
0,648,0,1,0,35.9977427,5,No,No,M,NO,No,Yes,30-06-2017
0,680,1,2,0,60.09992547,5,No,No,A,NO,No,Yes,30-04-2017
0,625,2,3,0,40.40335384,5,No,No,M,NO,Yes,No,30-04-2017
1,532,0,0,0,51.59424813,3,No,No,A,NO,No,Yes,31-03-2017
0,709,2,3,0,60.20948661,5,No,No,A,NO,No,Yes,31-07-2017
0,621,1,2,0,54.88686953,5,Yes,Yes,P,High,No,No,31-03-2017
0,661,0,3,0,53.70900426,6,No,No,M,NO,No,Yes,31-01-2017
0,716,0,0,0,25.97225616,7,No,No,P,NO,No,No,31-05-2017
0,685,1,3,2,57.3839307,7,Yes,No,M,NO,No,No,31-01-2017
0,NA,1,2,1,36.41624089,4,No,No,A,NO,No,No,31-12-2016
0,651,0,1,1,40.52192812,8,Yes,No,A,High,Yes,Yes,31-03-2017
1,NA,1,1,1,41.5273853,6,Yes,Yes,M,High,No,Yes,30-04-2017
0,708,0,2,0,58.55748381,7,No,No,A,NO,No,No,31-12-2016
0,601,1,3,0,56.45550837,5,No,No,M,High,Yes,Yes,31-03-2017
0,730,1,2,0,43.25766367,7,No,No,A,NO,No,Yes,28-02-2017
1,579,0,2,0,49.78580526,4,No,No,M,NO,No,Yes,31-03-2017
0,606,0,1,0,57.37896991,5,No,No,M,NO,No,No,31-01-2017
0,578,1,1,1,48.57247422,5,No,Yes,M,Low,No,Yes,31-05-2017
0,NA,1,2,0,41.42767583,5,No,No,P,NO,Yes,Yes,30-09-2017
0,651,0,0,0,44.44989591,7,No,No,P,NO,Yes,No,31-07-2017
